customer_id,tenure_months,plan_type,satisfaction_score,uses_new_feature,login_frequency_per_week,last_login_date,reporting_tool_usage,collaboration_tool_usage,exports_per_week,automation_usage_hours,integration_api_calls,business_age_years,industry,location_type
1,39,Free,6.651457184715543,0,3,2025-05-13 01:54:59.059745,2.753049977862302,3.392367256234406,0,0.2777898581064263,2.7839679539974678,45,Finance,Urban
2,52,Enterprise,7.645869226939785,0,2,2025-06-04 01:54:59.059768,0.7411959314603818,6.304993692138678,2,1.455927082102446,3.3205426745730344,6,Healthcare,Urban
3,29,Pro,5.5347638111870285,0,3,2025-05-28 01:54:59.059771,4.267778394412708,3.318901739574267,2,1.2725327190937845,7.030386157722825,31,Healthcare,Urban
4,15,Enterprise,7.2893350178276215,0,3,2025-05-13 01:54:59.059773,2.627995901490869,4.228038220831581,0,0.10826423614456848,6.784734140382201,10,Retail,Urban
5,43,Enterprise,6.038568780472905,0,1,2025-05-21 01:54:59.059790,0.6078910644584361,2.9023244188586252,1,0.6446265873443677,3.3246878583182857,14,Retail,Urban
6,8,Free,4.692575586804046,0,1,2025-05-19 01:54:59.059792,2.4802365527317614,3.278997203279403,0,0.6108237939230666,1.5251027764784564,5,Education,Urban
7,21,Pro,6.7522688154574375,0,2,2025-05-10 01:54:59.059794,1.9205107834421526,3.187144037155441,1,6.004210206309827,3.847776929774589,7,Manufacturing,Suburban
8,39,Basic,9.30447636072707,0,2,2025-05-25 01:54:59.059797,2.530621707053488,6.256004012670409,1,0.7899921885135246,4.079949436757734,32,Manufacturing,Urban
9,58,Pro,4.8121353882310265,0,2,2025-05-14 01:54:59.059800,5.788298409962781,3.393646359638125,2,1.7737067387898227,5.163776813852188,4,Technology,Urban
10,19,Pro,7.179088375591299,0,7,2025-05-17 01:54:59.059802,2.1779237350601277,5.629158518982363,2,1.0159529323918854,4.156550225510865,19,Retail,Urban
11,23,Basic,8.196365594896337,0,2,2025-05-11 01:54:59.059804,1.0664426690160844,2.988604777621746,0,0.8869986594423149,6.642239194735048,2,Healthcare,Urban
12,11,Pro,10.0,0,0,2025-05-23 01:54:59.059806,1.644840010334393,2.2850871210184853,0,2.0250965509015755,5.26509895452941,38,Retail,Urban
13,11,Pro,6.260600526329968,0,4,2025-05-27 01:54:59.059808,1.9154294751615766,4.660663343128343,1,1.2055171319343492,4.055979299805636,44,Education,Urban
14,24,Free,6.051999093093531,0,4,2025-05-26 01:54:59.059810,5.550358502624185,2.468317763327985,2,3.2840136712058987,4.948294165680289,15,Manufacturing,Urban
15,53,Enterprise,5.2499617060911,0,2,2025-05-11 01:54:59.059812,3.9394107159188763,1.8241741944287926,2,0.05873344030022099,2.2351134705302416,35,Healthcare,Suburban
